,45372_S65_all_db3.blast_table.csv
18s,C_sp._AF108865.1.1753_GENOTYPE_NAN_18s
actin,C_hominis_GU097651_HJY6_actin
hsp70,C_hominis_EF591787_strain_CHZF1_hsp70
