,Genome,testgenome_gene_name,db_gene_name,pident,slength,coverage,querystart,queryend,db,score
0,45369_S66_all_db3,NODE_12_length_219764_cov_99.8691,C_erinacei_KC885895_isolate_YA01_hsp70,100.0,308.0,0.9967532467532468,205735.0,206042.0,hsp70,99.67532467532469
1,45369_S66_all_db3,NODE_12_length_219764_cov_99.8691,C_parvum_KU892574_isolate_Swec434_hsp70,99.675,308.0,0.9967532467532468,205735.0,206042.0,hsp70,99.35137987012988
2,45369_S66_all_db3,NODE_12_length_219764_cov_99.8691,C_erinacei_KC885896_isolate_YA02_hsp70,99.675,308.0,0.9967532467532468,205735.0,206042.0,hsp70,99.35137987012988
3,45369_S66_all_db3,NODE_19_length_188563_cov_130.834,C_parvum_AAEE01000005.299599.301356_GENOTYPE_NAN_18s,99.602,1758.0,0.997155858930603,66481.0,68234.0,18s,99.31871786120593
4,45369_S66_all_db3,NODE_48_length_62622_cov_152.15,C_erinacei_GQ214079_isolate_IV-19_actin,99.906,1062.0,0.9990583804143126,42534.0,43595.0,actin,99.81192655367232
5,45369_S66_all_db3,NODE_48_length_62622_cov_152.15,C_erinacei_KF059969_isolate_YA02_bambooRat_china_actin,99.906,1062.0,0.9990583804143126,42534.0,43595.0,actin,99.81192655367232
6,45369_S66_all_db3,NODE_48_length_62622_cov_152.15,C_erinacei_KF059968_isolate_YA01_bambooRat_china_actin,99.906,1062.0,0.9990583804143126,42534.0,43595.0,actin,99.81192655367232
7,45369_S66_all_db3,NODE_243_length_6364_cov_170.232,C_PARVUM_AB513864_I_Genotype_NAN_18s,99.82799999999999,1746.0,0.9994272623138604,5.0,1750.0,18s,99.77082474226805
8,45369_S66_all_db3,NODE_243_length_6364_cov_170.232,C_sp._AF108863.1.1753_GENOTYPE_NAN_18s,99.544,1753.0,0.9971477467199088,5.0,1753.0,18s,99.2600752994866
9,45369_S66_all_db3,NODE_243_length_6364_cov_170.232,C_sp._AF108865.1.1753_GENOTYPE_NAN_18s,99.48700000000001,1753.0,0.9971477467199088,5.0,1753.0,18s,99.20323787792357
