,44231_all_db3.blast_table.csv
18s,C_sp._AF108865.1.1753_GENOTYPE_NAN_18s
actin,C_hominis_EF591784_strain_CHZF2_actin
hsp70,C_hominis_EF591787_strain_CHZF1_hsp70
